"Please select a district.","Silakan pilih kecamatan."
"Shipping Rate Information","Informasi Tarif Kiriman"
"Origin Code","Kode Asal"
"Rate Information","Informasi Tarif"
"--Please Select--","--Silakan Pilih--"
"Next Rate","Tarif Selanjutnya"
"Rate","Tarif"
"Save and Continue Edit","Simpan dan Edit Kembali"
"Save Rate","Simpan Tarif"
"Save Region","Simpan Provinsi"
"Are you sure want to delete this region?","Apakah Anda yakin ingin menghapus provinsi ini?"
"Shipping rate has been saved.","Tarif kiriman sudah disimpan."
"General Information","Informasi Umum"
"State/Region/Province Code","Kode Provinsi"
"State/Region/Province Name","Nama Provinsi"
"The region %1 has been deleted.","Provinsi %1 telah dihapus."
"Region to delete was not found.","Provinsi yang akan dihapus tidak ditemukan."
"This region no longer exists.","Provinsi ini sudah tidak ada."
"New Region","Provinsi Baru"
"Edit: %1 (%2)","Ubah: %1 (%2)"
"Regions Manager","Pengaturan Provinsi"
"Region has been saved.","Provinsi sudah disimpan"
"Something went wrong while saving the region.","Terjadi kesalahan ketika menyimpan provinsi."
"This shipment no longer exists.","Data kiriman ini sudah tidak ada."
"Pickup request already sent to JNE.","Permintaan penjemputan sudah dikirim ke JNE."
"Pickup Place/ Building","Tempat/ Gedung Penjemputan"
"New City","Kota/ Kab. Baru"
"Edit City","Ubah Kota/ Kab."
"City Manager","Pengaturan Kota/ Kab."
"This city no longer exists.","Kota/ Kab. sudah tidak ada."
"City has been saved.","Kota/ Kab. telah disimpan."
"Something went wrong while saving the city.","Terjadi kesalahan ketika menyimpan kota/ kab."
"Manage City","Pengaturan Kota/ Kab."
"City Code","Kode Kota/ Kab."
"City Name","Nama Kota/ Kab."
"Are you sure want to delete this city?","Apakah Anda yakin akan menghapus kota/ kab. ini?"
"Options","Opsi"
"Awb Qty","Jumlah Awb"
"Range From","Bentang Awal"
"Range To","Bentang Akhir"
"You generate awb successfully.","Anda telah berhasil meng-generate awb."
"Something went wrong while generate awb.","Terjadi Kesalahan ketika meng-generate awb."
"The district %1 has been deleted.","Kecamatan %1 telah dihapus."
"District to delete was not found.","Kecamatan yang akan dihapuss tidak ditemukan."
"This district no longer exists.","Kecamatan ini sudah tidak ada."
"Edit District","Ubah Kecamatan"
"New District","Kecamatan Baru"
"Manage District","Pengaturan Kecamatan"
"District has been saved.","Kecamatan telah disimpan."
"Something went wrong while saving the district.","Terjadi kesalahan ketika menyimpan kecamatan."
"Are you sure want to delete this district?","Apakah Anda yakin akan menghapus kecamatan ini?"
"Add New Region","Tambah Provinsi Baru"
"Delete Region","Hapus Provinsi"
"Delete City","Hapus Kota/ Kab."
"Delete District","Hapus Kecamatan"
"Delete","Hapus"
"Save City","Simpan Kota/ Kab."
"Save District","Simpan Kecamatan"
"First Kg Rate","Tarif Kg Pertama"
"Next Kg Rate","Tarif Kg Berikutnya"
"Courier","Kurir"
"Origin Code 1","Kode Asal 1"
"District Code 1","Kode Kecamatan 1"
"District Code","Kode Kecamatan"
"District Name","Nama Kecamatan"
"District Information","Informasi Kecamatan"
"Shipping Rate Information","Informasi Tarif Kiriman"
"Origin","Asal"
"Dest. Region","Provinsi Tujuan"
"Dest. City","Kota/ Kab. Tujuan"
"Dest. District","Kecamatan Tujuan"
"Method","Metode"
"Action","Aksi"
"Edit","Ubah"
"Failed to send shipment information to JNE system.","Gagal mengirimkan informasi pengiriman ke sistem JNE."
"Can\'t generate Jne airway bill number. Please contact your vendor.","Tidak dapat meng-generate nomor airway bill Jne. Silakan kontak vendor Anda."
"Send Request","Kirim Permintaan"
"Something went wrong while canceling gosend booking","Terjadi masalah saat saat membatalkan booking gosend"
"Booking cancelled by user","Booking dibatalkan oleh user"
"Shipping description not available, please contact your administrator.","Deskripsi pengiriman tidak tersedia, silakan hubungi administrator Anda."
"J&T has not allowed pickup cancelation.","J&T tidak mengizinkan pembatalan pickup."
"Pickup request cancelled by Admin","Permintaan pickup telah dibatalkan oleh Admin"
"Something went wrong while sending pickup request, please contact your administrator.","Terjadi kesalahan saat mengirim permintaan pickup, silakan hubungi administrator Anda."
"Pickup request sent with register ID %1.","Permintaan pickup sudah dikirim dengan ID registrasi %1."
"Do you wan\'t to clean rate cache? This will remove all cached rates from API","Apakah Anda ingin membersihkan cache tarif? Ini akan menghapus semua cache tarif yang berasal dari API"
"Is Cache?","Ini Cache?"
"CHOOSE LOCATION","Pin Alamat"
"Email Address","Email"
"Street Address","Alamat Lengkap"
"State/Province","Provinsi"
"City","Kota"
"Pin a Location Point","Atur Pinpoint Alamat"
"We\'ll send your order confirmation here.","Kami akan mengirimkan konfirmasi Pemesanan ke email Anda."
"You already have an account with us. Sign in or continue as guest.","Anda memiliki akun. Login atau lanjutkan sebagai tamu."
"Please select shipping method","Pilih metode pengiriman yang Anda inginkan:"
"Sorry, no quotes are available for this order at this time","Tidak ada kurir yang sesuai dengan lokasi Anda. Periksa kembali alamat Anda."
"For delivery questions.","Kami mungkin akan menghubungi Anda jika kami memerlukan informasi alamat Anda lebih detil"
"Ship Here","KIRIM KE ALAMAT INI",
"Cancel","BATAL"
"You can create an account after checkout.","Anda juga dapat membuat akun setelah checkout."
"Select the nearest Planet Gadget store.","Pilih Planet Gadget Store terdekat:"
"Sign In With Account","Masuk Dengan Akun"
"Enter your email & password to log into the account.","Tulis email & password Anda untuk masuk ke akun."
"Enter your email address","Masukkan email"
"Enter your password","Masukkan password"
"Remember Me","Ingat Saya"
"Register New Account","Daftar Akun Baru"
"Register an account and get various benefits such as:","Daftar akun dan dapatkan berbagai benefit seperti:"
"Faster Checkout Process","Proses Checkout lebih cepat"
"Save multiple shipping addresses","Simpan beberapa alamat pengiriman"
"View and track orders","Cek dan lacak pengiriman Anda"
"View order history","Lihat Riwayat Pemesanan"
"Create an Account","Daftar Akun Baru"
"or","atau"
"Login with %1","Masuk dengan %1"
